image_id,defect_name,target_defective,predicted_defective,largest_component_fraction,dice,iou,pixel_precision,pixel_recall,pixel_f1,true_positive_pixels,false_positive_pixels,false_negative_pixels,true_negative_pixels,fabric_code,ground_truth_pixels,ground_truth_fraction,size_bin,local_contrast,centroid_x,centroid_y,image_standard_deviation,classification_correct
0030_019_02,fuzzyball,True,False,9.5367431640625e-07,0.0,0.0,0.0,0.0,0.0,0,1,12,1048563,02,12,1.1444091796875e-05,tiny_1_32,31.64137931034483,0.14473470052083334,0.5032552083333334,38.48943233774161,False
0031_019_02,fuzzyball,True,False,2.09808349609375e-05,0.0,0.0,0.0,0.0,0.0,0,36,10,1048530,02,10,9.5367431640625e-06,tiny_1_32,34.74285714285715,0.820947265625,0.71328125,38.806691377217795,False
0032_019_02,fuzzyball,True,False,4.1961669921875e-05,0.0,0.0,0.0,0.0,0.0,0,46,10,1048520,02,10,9.5367431640625e-06,tiny_1_32,41.86530612244897,0.752587890625,0.032421875,38.52380762927059,False
0035_019_02,fuzzyball,True,False,4.863739013671875e-05,0.0,0.0,0.0,0.0,0.0,0,84,20,1048472,02,20,1.9073486328125e-05,tiny_1_32,35.121875,0.42022705078125,0.0546875,38.122741890697036,False
0048_019_04,fuzzyball,True,True,0.0007381439208984375,0.0,0.0,0.0,0.0,0.0,0,1250,73,1047253,04,73,6.961822509765625e-05,small_33_256,31.090287147415026,0.6033718161386986,0.6199700342465754,19.94438476737473,True
0055_019_06,fuzzyball,True,True,0.0030412673950195312,0.005139500734214391,0.002576370997423629,0.0025815969020837174,0.56,0.005139500734214391,14,5409,11,1043142,06,25,2.384185791015625e-05,tiny_1_32,34.19322580645161,0.448544921875,0.0640625,22.98880562086825,True
0065_022_00,cut_selvage,True,True,0.0014638900756835938,0.391232423490488,0.24318766066838046,0.24318766066838046,1.0,0.391232423490488,473,1472,0,1046631,00,473,0.00045108795166015625,medium_257_4096,4.053108862163377,0.3316611679109408,0.10578257135306554,84.56278630975763,True
0066_023_01,crease,True,True,0.0034770965576171875,0.22818508345658145,0.12878607202480324,0.13012048192771083,0.9262435677530018,0.22818508345658145,540,3610,43,1044383,01,583,0.0005559921264648438,medium_257_4096,5.421840338450593,0.5549395971805318,0.49698488421955406,47.68144477853771,True
0069_023_02,crease,True,True,0.0032567977905273438,0.4053875027599912,0.2542232068679036,0.2638689278528313,0.8742857142857143,0.4053875027599912,918,2561,132,1044965,02,1050,0.0010013580322265625,medium_257_4096,13.274121510673226,0.9017471168154761,0.501142113095238,38.14516744970554,True
0099_019_02,fuzzyball,True,False,1.621246337890625e-05,0.42105263157894735,0.26666666666666666,0.4,0.4444444444444444,0.42105263157894735,8,12,10,1048546,02,18,1.71661376953125e-05,tiny_1_32,31.14277777777778,0.5125461154513888,0.8415798611111112,43.03352319069903,False
0101_022_03,cut_selvage,True,True,0.0016679763793945312,0.2737567700640079,0.15858528237307473,0.15858528237307473,1.0,0.2737567700640079,278,1475,0,1046823,03,278,0.0002651214599609375,medium_257_4096,37.98776785886187,0.3174486777765288,0.055010678956834536,81.30863651433192,True
